,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
170,1688599,130,9003,부산광역시,284,연제구,21,6.9,병원,303.8,1144137,4439,16,334.7,700.3
171,1742623,560,9003,경상북도,37,청도군,37,1.7,병원,514.6,1116426,504,14,459.7,1041.7
172,1697101,110,9003,부산광역시,269,금정구,21,6.5,병원,380.9,1144771,3876,14,375.8,844.8
173,1799364,060,9003,충청남도,115,논산시,34,6.4,병원,441.1,969230,2059,18,465.8,965.7
174,1823371,050,9003,대전광역시,173,대덕구,25,9.9,병원,434.9,994133,2909,17,580.5,989.8
175,1947096,180,9003,경기도,292,하남시,31,2.3,병원,424.7,974014,3128,11,383.7,1027.6
176,1630777,590,9003,전라남도,29,강진군,36,1.8,병원,529.6,932834,492,17,497.7,1075.2
177,1711024,510,9003,경상남도,18,의령군,38,0.6,병원,696.1,1070571,312,17,638.6,1347.2
178,1810517,070,9003,충청남도,33,계룡시,34,1.8,병원,481.3,976157,233,7,354.2,1230.7
179,1780820,030,9003,전라북도,279,익산시,35,14.6,병원,429.9,954003,6235,22,435.4,974.3
180,1725932,020,9003,울산광역시,488,남구,26,44.9,병원,270.5,1165882,7786,16,354.7,627.8
181,1726980,030,9003,울산광역시,135,동구,26,12.4,병원,460.4,1174664,4218,31,560.6,1114
182,1886425,570,9003,충청북도,76,음성군,33,5.2,병원,540,1010166,931,12,1090.5,1149.5
183,1945232,050,9003,경기도,869,부천시,31,6.9,병원,367.1,937136,16019,18,360.5,893.5
184,1965612,230,9003,경기도,405,김포시,31,3.2,병원,451.1,920515,5901,15,521.4,1141.9
185,1724051,530,9003,경상남도,55,창녕군,38,1.9,병원,492.9,1090049,1117,20,515,1020.1
186,1862923,011,9003,충청남도,222,천안시 동남구,34,12.3,병원,505.7,975091,7704,35,570.7,1154.5
187,1714087,050,9003,전라북도,84,남원시,35,4.4,병원,409.4,994727,1264,15,368.3,890
188,1740147,540,9003,전라북도,14,장수군,35,0.7,병원,675.1,1004009,157,11,700.6,1413.1
189,1867811,040,9003,충청남도,237,아산시,34,13.2,병원,570.8,953620,3669,15,833.8,1342.3
190,1895892,030,9003,충청북도,135,제천시,33,9.3,병원,445.1,1056981,2062,15,438.5,968.2
191,1688812,040,9003,광주광역시,485,북구,24,27.1,병원,383.5,947690,9147,19,366,880.9
