,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
136,1962587,130,J002,경기도,274,남양주시,31,4.7,약국,971.6,977390,701,3,778.2,2546.5
137,1480595,020,J002,제주특별자치도,79,서귀포시,39,24.7,약국,936.9,912401,203,3,1002.2,2147.7
138,1882687,610,J002,경상북도,17,봉화군,37,1.3,약국,834.5,1125833,35,2,720.8,1678.9
139,1743652,580,J002,전라북도,36,부안군,35,3.1,약국,619.1,923643,83,2,623.3,1287.4
140,1670790,060,J002,전라남도,60,광양시,36,5.9,약국,989.6,1015321,141,2,1498.6,2348.2
141,1945542,200,J002,서울특별시,199,동작구,11,3.4,약국,855.9,951541,507,3,539.7,1864.7
142,1736517,040,J002,울산광역시,59,북구,26,13,약국,1373.5,1170272,175,3,1829.4,3585.8
143,1877206,012,J002,충청남도,176,천안시 서북구,34,15.7,약국,967.2,969859,469,3,1087,2237.7
144,1957902,120,J002,서울특별시,228,은평구,11,3.9,약국,849.2,949435,608,3,458.3,1965.7
145,1946531,580,J002,경기도,49,양평군,31,0.8,약국,1004.8,1007005,107,2,772.2,2296.9
146,1956365,080,J002,서울특별시,208,성북구,11,3.6,약국,874.2,957400,515,2,581.6,2015.2
147,1774811,020,J002,전라북도,158,군산시,35,13.6,약국,723.3,931192,361,2,728.2,1631.7
148,1918544,520,J002,인천광역시,4,옹진군,23,0.3,약국,2326.5,907478,5,1,1973.3,4445.8
149,2022035,060,J002,강원도,46,속초시,32,5.9,약국,796.9,1090569,122,3,751.5,1704.3
150,1944433,060,J002,인천광역시,247,부평구,23,19.8,약국,799.2,931150,640,3,661.7,1895.3
151,1632094,580,J002,전라남도,22,장흥군,36,2.2,약국,751.5,948681,55,2,740.6,1515
152,1937197,022,J002,경기도,104,성남시 중원구,31,1.8,약국,876.3,970272,284,3,965.9,1955
153,1925484,092,J002,경기도,170,안산시 단원구,31,2.9,약국,729.9,937215,504,3,1441.6,1720.7
154,1944250,230,J002,서울특별시,532,강남구,11,9.2,약국,396.9,961366,1430,3,1504.3,920.3
155,1990823,080,J002,경기도,42,동두천시,31,0.7,약국,934.7,962902,133,3,718.1,2140.8
156,1947168,190,J002,서울특별시,278,영등포구,11,4.8,약국,606.2,947876,743,3,1551.4,1283.8
157,1947646,040,J002,강원도,42,동해시,32,5.4,약국,914.2,1138454,110,3,873.5,2032.9
158,1987802,010,J002,강원도,141,춘천시,32,18.2,약국,864,1021092,445,3,892.7,1980.6
159,2041782,600,J002,강원도,12,고성군,32,1.6,약국,999.3,1080768,21,2,1288.5,2056.6
160,1780280,590,J002,경상북도,46,칠곡군,37,3.6,약국,1042,1086737,103,2,1459.3,2372.7
161,1773695,011,J002,경상북도,112,포항시 남구,37,8.6,약국,885.1,1173012,298,3,1150.1,1985.1
162,1960547,090,J002,서울특별시,174,강북구,11,3,약국,749,956880,426,2,445.6,1640.1
163,1818852,530,J002,경상북도,14,청송군,37,1.1,약국,847.2,1139734,25,2,873.3,1634.5
164,1843816,041,J002,충청북도,103,청주시 상당구,33,12.8,약국,744.7,1005594,295,3,603,1809
165,1796800,012,J002,경상북도,137,포항시 북구,37,10.6,약국,834.1,1158472,339,2,695.6,1946.9
166,1682534,560,J002,경상남도,27,하동군,38,1.8,약국,720.6,1027810,54,2,665.9,1454.3
167,1695477,114,J002,경상남도,95,창원시 마산회원구,38,6.2,약국,807.7,1094321,328,3,741.7,1921.4
168,1784988,030,J002,경상북도,67,김천시,37,5.2,약국,897.2,1052027,153,2,952.9,1999
169,1912161,530,J002,강원도,19,영월군,32,2.5,약국,904.7,1088784,47,2,1072.7,1847.4
170,1688599,130,J002,부산광역시,112,연제구,21,6.5,약국,770.2,1144137,267,2,848.8,1775.8
171,1742623,560,J002,경상북도,24,청도군,37,1.9,약국,793.4,1116426,51,2,708.7,1606
172,1697101,110,J002,부산광역시,121,금정구,21,7.1,약국,846.7,1144771,268,2,835.5,1878
173,1799364,060,J002,충청남도,82,논산시,34,7.3,약국,618.6,969230,201,2,653.2,1354.4
174,1823371,050,J002,대전광역시,96,대덕구,25,11.6,약국,783.7,994133,229,2,1046.2,1783.7
175,1947096,180,J002,경기도,124,하남시,31,2.1,약국,1000.1,974014,297,2,903.6,2419.9
176,1630777,590,J002,전라남도,23,강진군,36,2.3,약국,667.7,932834,44,2,627.5,1355.7
177,1711024,510,J002,경상남도,13,의령군,38,0.8,약국,963.8,1070571,28,2,884.2,1865.4
